,model1,model2,sampleId,jacardDist
152,Peptoniphilaceae,Lactobacillales,ERR260134,0.5716685330347144
153,Propionibacteriaceae,Selenomonadaceae,ERR260134,0.4931921331316188
154,Propionibacteriaceae,Staphylococcaceae,ERR260134,0.31485587583148555
155,Propionibacteriaceae,Veillonellaceae,ERR260134,0.46270270270270275
156,Propionibacteriaceae,Actinomycetales,ERR260134,0.45917355371900825
157,Propionibacteriaceae,Bacteroidales,ERR260134,0.5833768949294302
158,Propionibacteriaceae,Clostridiales,ERR260134,0.5840039014874421
159,Propionibacteriaceae,Lactobacillales,ERR260134,0.5479901558654635
160,Selenomonadaceae,Staphylococcaceae,ERR260134,0.5206640762981278
161,Selenomonadaceae,Veillonellaceae,ERR260134,0.17490196078431375
162,Selenomonadaceae,Actinomycetales,ERR260134,0.4620773682607371
163,Selenomonadaceae,Bacteroidales,ERR260134,0.4412238325281803
164,Selenomonadaceae,Clostridiales,ERR260134,0.45933847301666253
165,Selenomonadaceae,Lactobacillales,ERR260134,0.4048152295632699
166,Staphylococcaceae,Veillonellaceae,ERR260134,0.4924114671163575
167,Staphylococcaceae,Actinomycetales,ERR260134,0.4725274725274725
168,Staphylococcaceae,Bacteroidales,ERR260134,0.5751203445654928
169,Staphylococcaceae,Clostridiales,ERR260134,0.551566265060241
170,Staphylococcaceae,Lactobacillales,ERR260134,0.4971381847914963
171,Veillonellaceae,Actinomycetales,ERR260134,0.43067412422725937
172,Veillonellaceae,Bacteroidales,ERR260134,0.39863265842755724
173,Veillonellaceae,Clostridiales,ERR260134,0.4015301085883515
174,Veillonellaceae,Lactobacillales,ERR260134,0.3526170798898072
175,Actinomycetales,Bacteroidales,ERR260134,0.3494527869686943
176,Actinomycetales,Clostridiales,ERR260134,0.3516430798752699
177,Actinomycetales,Lactobacillales,ERR260134,0.28859060402684567
178,Bacteroidales,Clostridiales,ERR260134,0.2132989932100211
179,Bacteroidales,Lactobacillales,ERR260134,0.2506130456105934
180,Clostridiales,Lactobacillales,ERR260134,0.23076923076923073
