family,order,sampleId,jacardDist
Bacteroidaceae,Bacteroidales,ERR260181,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260181,0.116689655
Rikenellaceae,Bacteroidales,ERR260181,0.269793103
Clostridiaceae,Clostridiales,ERR260181,0.116928447
Lachnospiraceae,Clostridiales,ERR260181,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260181,0.366127024
Ruminococcaceae,Clostridiales,ERR260181,0.164257228
Lactobacillaceae,Lactobacillales,ERR260181,0.050366032
Streptococcaceae,Lactobacillales,ERR260181,0.140890451
Actinomycetaceae,Actinomycetales,ERR260182,0.043979058
Micrococcaceae,Actinomycetales,ERR260182,0.418499127
Bacteroidaceae,Bacteroidales,ERR260182,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260182,0.135062129
Prevotellaceae,Bacteroidales,ERR260182,0.212317666
Rikenellaceae,Bacteroidales,ERR260182,0.284981091
Clostridiaceae,Clostridiales,ERR260182,0.116928447
Lachnospiraceae,Clostridiales,ERR260182,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260182,0.366127024
Ruminococcaceae,Clostridiales,ERR260182,0.164257228
Lactobacillaceae,Lactobacillales,ERR260182,0.050366032
Streptococcaceae,Lactobacillales,ERR260182,0.140890451
Actinomycetaceae,Actinomycetales,ERR260185,0.043979058
Micrococcaceae,Actinomycetales,ERR260185,0.418499127
Bacteroidaceae,Bacteroidales,ERR260185,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260185,0.135062129
Prevotellaceae,Bacteroidales,ERR260185,0.212317666
Rikenellaceae,Bacteroidales,ERR260185,0.284981091
Clostridiaceae,Clostridiales,ERR260185,0.116928447
Lachnospiraceae,Clostridiales,ERR260185,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260185,0.366127024
Ruminococcaceae,Clostridiales,ERR260185,0.164257228
Lactobacillaceae,Lactobacillales,ERR260185,0.050366032
Streptococcaceae,Lactobacillales,ERR260185,0.140890451
Oxalobacteraceae,Burkholderiales,ERR260185,0.337734538
Suterellaceae,Burkholderiales,ERR260185,0.144544823
Actinomycetaceae,Actinomycetales,ERR260186,0.043979058
Micrococcaceae,Actinomycetales,ERR260186,0.418499127
Bacteroidaceae,Bacteroidales,ERR260186,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260186,0.135062129
Prevotellaceae,Bacteroidales,ERR260186,0.212317666
Rikenellaceae,Bacteroidales,ERR260186,0.284981091
Clostridiaceae,Clostridiales,ERR260186,0.116928447
Lachnospiraceae,Clostridiales,ERR260186,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260186,0.366127024
Ruminococcaceae,Clostridiales,ERR260186,0.164257228
Lactobacillaceae,Lactobacillales,ERR260186,0.058362369
Leuconostocaceae,Lactobacillales,ERR260186,0.410107464
Streptococcaceae,Lactobacillales,ERR260186,0.148126634
Actinomycetaceae,Actinomycetales,ERR260189,0.043979058
Micrococcaceae,Actinomycetales,ERR260189,0.418499127
Bacteroidaceae,Bacteroidales,ERR260189,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260189,0.116689655
Rikenellaceae,Bacteroidales,ERR260189,0.269793103
Clostridiaceae,Clostridiales,ERR260189,0.116928447
Lachnospiraceae,Clostridiales,ERR260189,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260189,0.366127024
Ruminococcaceae,Clostridiales,ERR260189,0.164257228
Lactobacillaceae,Lactobacillales,ERR260189,0.050366032
