sample_id,PhyloMICOM01,MICOM01,PhyloMICOM07,MICOM07,PhyloMICOM1.5,MICOM1.5,,
ERR321590,0.78243201,0.48097516,0.47098511,0.181343626,0.495233046,0.400435617,,
ERR321592,0.992798097,0.988197618,,0.992518713,0.966932346,0.839862089,,
ERR321602,0.132816339,0.10725142,0.132439667,0.121674855,0.022797891,0.1269159,,
ERR321606,-1,-0.765979172,-0.6,-0.785041502,,-0.834120175,,
ERR321608,1,0.941463028,0.6,0.503908619,,0.653767218,,
ERR321612,0.948928945,0.919028753,0.872315147,0.731101114,0.888641363,0.630094465,,
ERR321614,0.840918251,0.67196502,0.835458517,0.669892343,0.834822586,0.309042182,,
ERR321616,0.758748485,-0.260738983,0.084504432,0.039788623,0.747437588,0.042071409,,
ERR321619,0.6,-0.038974635,0.2,-0.295900231,0.2,0.491995541,,
ERR321627,0.907834731,0.821770486,0.794057541,0.772872999,0.751635072,0.717716567,,
ERR321628,0.450464058,0.512338396,0.32663607,0.467954864,0.036002681,0.010321499,,
ERR321631,1,0.892502083,0.2,0.851403212,1,0.35691647,,
ERR321634,0.473330658,0.33647926,0.511097736,0.19627107,0.240920929,-0.076952163,,
ERR321640,0.26975231,0.847897393,0.158582899,0.195622653,0.231967056,0.37340357,,
ERR321642,1,0.999923944,1,0.999783588,,0.997542952,,
ERR321648,0.80378861,0.535281446,0.692956993,0.43356029,0.746488379,0.560865749,,
ERR414233,0.352713066,0.607708243,0.334128226,0.316330895,0.620004019,,,
ERR414234,0.851445342,0.183478356,0.900341897,0.310698471,0.813757734,0.079790304,,
ERR414235,-0.143079287,0.351890317,-0.312623455,0.111458611,-0.301875281,-0.391948047,,
ERR414239,-0.225618624,-0.351578293,-0.220796831,-0.325849363,,-0.215094676,,
ERR414240,0.791345848,0.907847934,0.835590248,0.590608631,-0.09207828,0.290242185,,
ERR414241,0.866740367,0.729383026,0.819815593,0.292495623,0.265829259,0.506173063,,
ERR414242,0.965301907,0.98518388,0.950840251,0.9290795,0.813002062,0.993709421,,
ERR414244,0.325550685,0.693875308,0.306284326,-0.23638836,-0.586166455,,,
ERR414246,0.926586801,0.946995277,0.609950546,0.942213535,,,,
ERR414250,0.152647755,0.170225401,0.135620648,0.190145989,0.007383745,,,
ERR414252,0.907871442,0.491705171,0.898793046,0.597968306,,,,
ERR414254,,1,,0.2,,,,
ERR414261,0.832175709,0.577582515,0.866871476,0.462018259,0.683361506,0.332125808,,
ERR414262,1,0.95492206,1,0.988173773,,,,
ERR414265,-1,-0.395906579,-1,-0.615971605,,,,
ERR414266,0.302725334,-0.240846258,0.362340803,-0.044722565,0.523746514,-0.010957574,,
ERR414267,1,0.934334552,1,0.89325333,0.6,0.923771479,,
ERR414268,0.999978012,0.998264809,0.999634209,0.883964645,,,,
ERR414270,1,0.998982976,1,,,0.999501848,,
ERR414274,0.773221759,0.309193313,0.653922657,-0.040254871,0.408146405,-0.056472342,,
ERR414277,0.104422928,0.378964031,0.107208071,0.171859753,0.338678437,0.370857236,,
ERR414278,-0.01902445,0.007254901,-0.03685223,0.236246176,-0.128761858,-0.143743946,,
ERR414279,0.170458797,0.200818595,0.364584462,0.344441203,0.317181491,0.078462702,,
ERR414282,0.895704794,0.931017739,0.686472041,0.796959547,0.46179228,0.727274909,,
ERR414283,0.671810406,0.447471896,0.67277027,0.488235538,0.212854957,0.464585838,,
ERR414288,0.504360416,0.53969389,0.347563514,0.396254554,,-0.118041183,,
ERR414292,0.911604274,0.008188655,0.793227598,0.081907793,0.826846828,0.172155293,,
